refinery_id,company,refinery_name,state,capacity_000_mt,osm_id,osm_type,osm_name,osm_operator,latitude,longitude,source_ppac,source_osm,osm_status,verified,previous_latitude,previous_longitude,coordinate_change_status,coordinate_verification_status,coordinate_verification_note,geometry_type,polygon_status,polygon_source,polygon_wkt,geometry_wkt,polygon_download_url
11,HINDUSTAN PETROLEUM CORPORATION LIMITED,"HPC, Visakh",ANDHRA PRADESH,15000,way/397989480,way,Visakhapatnam Refinery,,17.7057657,83.2398224,True,True,MATCHED,True,17.70630175,83.2397135607023,UPDATED,VERIFIED_OSM_MATCH,,OSM_WAY_POLYGON_CANDIDATE,REFERENCE_AVAILABLE_GEOMETRY_NOT_DOWNLOADED,OpenStreetMap,,POINT(83.2398224 17.7057657),https://api.openstreetmap.org/api/0.6/way/397989480/full
12,BHARAT PETROLEUM CORPORATION LIMITED,"BPC, Mumbai",MAHARASHTRA,12000,way/430012318,way,Mumbai Refinery Mahul,BPCL,19.0163657,72.8941519,True,True,MATCHED,True,19.01709685,72.89417092190978,UPDATED,VERIFIED_OSM_MATCH,,OSM_WAY_POLYGON_CANDIDATE,REFERENCE_AVAILABLE_GEOMETRY_NOT_DOWNLOADED,OpenStreetMap,,POINT(72.8941519 19.0163657),https://api.openstreetmap.org/api/0.6/way/430012318/full
13,BHARAT PETROLEUM CORPORATION LIMITED,"BPC, Kochi",KERALA,15500,way/59266107,way,BPCL Refinery,,9.96946,76.37253,True,True,MATCHED,True,,,FILLED,VERIFIED_OSM_MATCH,Selected OSM way 59266107 explicitly named BPCL Refinery. Nearby way 59266108 is another BPCL refinery-mapped object; keep both as candidate geometry references if needed.,OSM_WAY_POLYGON_CANDIDATE,REFERENCE_AVAILABLE_GEOMETRY_NOT_DOWNLOADED,OpenStreetMap,,POINT(76.37253 9.96946),https://api.openstreetmap.org/api/0.6/way/59266107/full
14,BHARAT PETROLEUM CORPORATION LIMITED,"BPC, Bina",MADHYA PRADESH,7800,way/372699638,way,Bina Refinery,,24.2517068,78.1618428,True,True,MATCHED,True,24.25150755,78.16167231344403,UPDATED,VERIFIED_OSM_MATCH,,OSM_WAY_POLYGON_CANDIDATE,REFERENCE_AVAILABLE_GEOMETRY_NOT_DOWNLOADED,OpenStreetMap,,POINT(78.1618428 24.2517068),https://api.openstreetmap.org/api/0.6/way/372699638/full
15,CHENNAI PETROLEUM CORPORATION LIMITED,"CPCL,Manali",CHENNAI,10500,way/102565505,way,CPCL Refinery,,13.1741056,80.2749395,True,True,MATCHED,True,,,FILLED,VERIFIED_OSM_MATCH,OSM way 102565505 explicitly named CPCL Refinery; selected as main Manali refinery site reference.,OSM_WAY_POLYGON_CANDIDATE,REFERENCE_AVAILABLE_GEOMETRY_NOT_DOWNLOADED,OpenStreetMap,,POINT(80.2749395 13.1741056),https://api.openstreetmap.org/api/0.6/way/102565505/full
16,CHENNAI PETROLEUM CORPORATION LIMITED,"CPCL, Cauvery Basin*",CHENNAI,0,,,,,10.829,79.813,True,False,NOT_MATCHED,True,,,FILLED,VERIFIED_GOVERNMENT_PROJECT_COORDINATE,"Government environmental-clearance risk assessment gives project-site coordinate 10.829, 79.813. PPAC currently lists Cauvery Basin at 0 capacity and under capacity augmentation; no OSM refinery polygon assigned.",POINT_ONLY,NOT_AVAILABLE,,,POINT(79.813 10.829),
17,NUMALIGARH REFINERY LIMITED,"NRL, Numaligarh",ASSAM,3000,way/69366299,way,Numaligarh Refinery,,26.5824092,93.7872127,True,True,MATCHED,True,26.58269895,93.78683123121677,UPDATED,VERIFIED_OSM_MATCH,,OSM_WAY_POLYGON_CANDIDATE,REFERENCE_AVAILABLE_GEOMETRY_NOT_DOWNLOADED,OpenStreetMap,,POINT(93.7872127 26.5824092),https://api.openstreetmap.org/api/0.6/way/69366299/full
18,OIL AND NATURAL GAS CORPORATION,"ONGC, Tatipaka",ANDHRA PRADESH,66,way/206504600,way,ONGC Tatipaka Refinery,,16.5015147,81.8956872,True,True,MATCHED,True,16.5004841,81.89563722757894,UPDATED,VERIFIED_OSM_MATCH,,OSM_WAY_POLYGON_CANDIDATE,REFERENCE_AVAILABLE_GEOMETRY_NOT_DOWNLOADED,OpenStreetMap,,POINT(81.8956872 16.5015147),https://api.openstreetmap.org/api/0.6/way/206504600/full
19,MANGALORE REFINERY AND PETROCHEMICALS LIMITED,"MRPL, Mangalore",KARNATAKA,15000,way/62004860,way,MRPL,,12.9858046,74.8442363,True,True,MATCHED,True,,,FILLED,VERIFIED_OSM_MATCH,OSM way 62004860 explicitly identifies Mangalore Refinery and Petrochemicals Limited (MRPL).,OSM_WAY_POLYGON_CANDIDATE,REFERENCE_AVAILABLE_GEOMETRY_NOT_DOWNLOADED,OpenStreetMap,,POINT(74.8442363 12.9858046),https://api.openstreetmap.org/api/0.6/way/62004860/full
20,HPCL–MITTAL ENERGY LIMITED,"HMEL, GGSR",PUNJAB,11300,way/546111308,way,Guru Gobind Singh Refinery,,29.9181696,74.9522387,True,True,MATCHED,True,29.91789375,74.95536959629976,UPDATED,VERIFIED_OSM_MATCH,,OSM_WAY_POLYGON_CANDIDATE,REFERENCE_AVAILABLE_GEOMETRY_NOT_DOWNLOADED,OpenStreetMap,,POINT(74.9522387 29.9181696),https://api.openstreetmap.org/api/0.6/way/546111308/full
21,HPCL Rajasthan Refinery Limited,"HRRL, Pachpadra",RAJASTHAN,9000,,,,,25.953728,72.194723,True,False,NOT_MATCHED,True,,,FILLED,VERIFIED_SECONDARY_SOURCE,"Global Energy Monitor provides 25.953728,72.194723 as exact HRRL Pachpadra project coordinates; HPCL confirms the refinery-cum-petrochemical complex at Pachpadra and current commissioning.",POINT_ONLY,NOT_AVAILABLE,,,POINT(72.194723 25.953728),
22,RELIANCE INDUSTRIES LIMITED,"RIL, Jamnagar",GUJARAT,33000,way/91585872,way,Reliance Refinery,Reliance Industries Limited,22.3367861,69.8665828,True,True,MATCHED,True,22.33678845,69.85448409753569,UPDATED,VERIFIED_OSM_MATCH,,OSM_WAY_POLYGON_CANDIDATE,REFERENCE_AVAILABLE_GEOMETRY_NOT_DOWNLOADED,OpenStreetMap,,POINT(69.8665828 22.3367861),https://api.openstreetmap.org/api/0.6/way/91585872/full
23,RELIANCE INDUSTRIES LIMITED,"RPL (SEZ), Jamnagar",GUJARAT,35200,way/91585872,way,Reliance Refinery,Reliance Industries Limited,22.3367861,69.8665828,True,True,MATCHED,True,22.33678845,69.85448409753569,UPDATED,VERIFIED_OSM_MATCH,,OSM_WAY_POLYGON_CANDIDATE,REFERENCE_AVAILABLE_GEOMETRY_NOT_DOWNLOADED,OpenStreetMap,,POINT(69.8665828 22.3367861),https://api.openstreetmap.org/api/0.6/way/91585872/full
24,NAYARA ENERGY LIMITED,"NEL, Vadinar",GUJARAT,20000,way/197338462,way,Vadinar Refinery,,22.32973,69.74436,True,True,MATCHED,True,,,FILLED,VERIFIED_OSM_MATCH,"Selected OSM way 197338462 (Vadinar Refinery). Do not use nearby way 197338461 (Essar Refinery), which is a different mapped object.",OSM_WAY_POLYGON_CANDIDATE,REFERENCE_AVAILABLE_GEOMETRY_NOT_DOWNLOADED,OpenStreetMap,,POINT(69.74436 22.32973),https://api.openstreetmap.org/api/0.6/way/197338462/full
